città;doc_id;URL
Pescara;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Pescara;text155;https://www.ilsole24ore.com/art/trento-e-pescara-l-accoppiata-vincente-sviluppo-ecosostenibile-AEoLwhcB
Pisa;text9;https://www.italpress.com/airbnb-le-zone-turistiche-rurali-crescono-8-volte-piu-delle-citta/
Pisa;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Pistoia;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Pistoia;text45;https://www.ilfattoquotidiano.it/2023/04/11/la-sfida-della-toscana-rilanciare-in-chiave-smart-economia-dei-territori-e-stili-di-vita/7120957/
Pordenone;text74;https://www.ilfriuli.it/articolo/economia/smart-working-i-numeri-in-fvg-/4/277588
Potenza;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Prato;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Ragusa;text143;https://palermo.repubblica.it/societa/2022/06/30/news/la_sicilia_vista_dai_millennials_ecco_la_guida_allisola_pensata_dai_giovani_per_lunesco-356038833/?rss
Recanati;text129;https://www.ilrestodelcarlino.it/marche/economia/turismo-spot-video-regione-p2rx3kgc
Ribera;text143;https://palermo.repubblica.it/societa/2022/06/30/news/la_sicilia_vista_dai_millennials_ecco_la_guida_allisola_pensata_dai_giovani_per_lunesco-356038833/?rss
Rionero in Vulture;text15;https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Roma;text10;https://www.affaritaliani.it/economia/al-via-il-progetto-per-dare-nuova-vita-a-43-borghi-tra-sicilia-e-calabria-917054.html?ref=ig
Roma;text79;https://www.repubblica.it/economia/2021/04/05/news/turismo_sara_un_estate_holidayworking_parola_di_italianway_la_formula_italiana_degli_affitti_brevi-295065613/?rss
Roma;text9;https://www.italpress.com/airbnb-le-zone-turistiche-rurali-crescono-8-volte-piu-delle-citta/
Roma;text30;https://www.ansa.it/europa/notizie/rubriche/europa_delle_regioni/2023/10/11/emiliano-porta-a-bruxelles-la-strategia-mare-a-sinistra-per-attrarre-talentiin-puglia_c3ed4b82-2cee-4d46-acf3-194b296ac9bc.html
Roma;text12;https://www.lagazzettadelmezzogiorno.it/news/matera/1368415/aliano-e-tursi-il-mondo-e-qui-il-southworking-per-ripopolare-i-borghi.html
Roma;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Roma;text81;https://www.ilfoglio.it/societa/2022/06/09/gallery/venezia-49-999-fra-le-rotte-anti-spopolamento-una-sola-e-veramente-nuova-4088802/
Roma;text76;https://www.lanazione.it/empoli/cronaca/tempi-stretti-per-i-lavori-entro-la-fine-dellanno-gli-spazi-di-coworking-nellex-ospedale-60bb02bd
Roma;text21;https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Roma;text72;https://www.wallstreetitalia.com/smart-working-in-un-luogo-di-vacanza-le-migliori-destinazioni-del-2023/
Roma;text64;https://www.lagazzettadelmezzogiorno.it/news/brindisi/1387899/ostuni-destagionalizza-grazie-ai-nomadi-digitali.html
Roma;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Rutigliano;text85;https://bari.repubblica.it/cronaca/2023/09/21/news/nei_locali_dellex_istituto_nautico_apre_lostabile_sara_la_casa_dei_nomadi_digitali-415317861/?rss
Salerno;text95;https://www.ildenaro.it/da-studenti-universitari-a-imprenditori-in-campania-grazie-allhackathon-padula-2023/
Salerno;text96;https://www.ildenaro.it/dallhackathon-di-padula-parte-linnovazione-delle-aree-interne-e-la-sfida-allo-spopolamento/
Sanremo;text105;https://www.ligurianotizie.it/nomadi-digitali-anche-la-liguria-tra-le-migliori-mete-per-lo-smart-working/2022/12/05/522636/
Saronno;text132;https://www.ilgiorno.it/economia/milano-campagna-nuova-vita-borgo-antico-1.7917795
Sassari;text146;https://www.castedduonline.it/massimo-zedda-piu-case-dello-studente-a-cagliari-dobbiamo-attrarre-tanti-giovani-per-studiare-o-lavorare/
Siena;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Torino;text132;https://www.ilgiorno.it/economia/milano-campagna-nuova-vita-borgo-antico-1.7917795
Torino;text90;https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss
Torino;text14;https://notiziaoggi.it/idee-consigli/anche-il-piemonte-tra-i-luoghi-nascosti-da-visitare-lultima-ricerca/
Torino;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Torino;text94;https://www.ilsole24ore.com/art/bologna-nhood-vince-bando-riqualificare-scalo-ravone-prati-AGwUp1F
Torino;text58;https://www.ansa.it/sito/notizie/economia/2022/04/29/nomadi-digitali-una-norma-per-lanciare-trend-in-italia_85da3e80-73fa-4b02-9d86-1104db723e2f.html
Torino;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Trapani;text108;https://www.tgcom24.mediaset.it/tgcomlab/affitti-brevi-italianway-lancia-la-startupbuytorent_34431872-202102k.shtml
Trento;text155;https://www.ilsole24ore.com/art/trento-e-pescara-l-accoppiata-vincente-sviluppo-ecosostenibile-AEoLwhcB
Trieste;text8;http://www.ansa.it/nuova_europa/it/notizie/rubriche/altrenews/2022/10/03/airbnb-fvg-tra-le-20-localita-al-mondo-per-digital-nomads_dbf5ba67-0104-47d7-8520-092800c917c8.html
Trieste;text73;https://www.ilfriuli.it/articolo/economia/smart-working-i-lavoratori-digitali-scelgono-il-fvg/4/272157
Trieste;text98;https://www.italpress.com/innovazione-rosolen-bini-fvg-sede-top-per-lavoratori-digitali/
Udine;text139;https://www.ilfriuli.it/articolo/economia/digitalmeet-fa-tappa-a-resia/4/272821
Urbino;text129;https://www.ilrestodelcarlino.it/marche/economia/turismo-spot-video-regione-p2rx3kgc
Varese;text132;https://www.ilgiorno.it/economia/milano-campagna-nuova-vita-borgo-antico-1.7917795
Venezia;text82;https://www.adnkronos.com/Archivio/lavoro/venywhere-progetto-di-fondazione-di-venezia-e-universita-ca-foscari-per-un-nuovo-modo-lavorare-e-vivere_6YK4ZFrDaEL4c5RSTPXMyE
Venezia;text132;https://www.ilgiorno.it/economia/milano-campagna-nuova-vita-borgo-antico-1.7917795
Venezia;text61;https://www.adnkronos.com/immediapress/ict/nomadismo-digitale-unopportunita-per-cercare-talenti-anche-fuori-i-confini-aziendali_6MLry47Lr7ksw88XKCUKLq
Venezia;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Venezia;text81;https://www.ilfoglio.it/societa/2022/06/09/gallery/venezia-49-999-fra-le-rotte-anti-spopolamento-una-sola-e-veramente-nuova-4088802/
Venezia;text21;https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Venezia;text43;https://www.agi.it/lifestyle/news/2022-03-01/remote-working-venezia-smart-working-progetto-venywhere-15801713/
Venezia;text64;https://www.lagazzettadelmezzogiorno.it/news/brindisi/1387899/ostuni-destagionalizza-grazie-ai-nomadi-digitali.html
Vicenza;text133;https://www.ilgiornaledivicenza.it/rubriche/viaggi-e-turismo/elisabetta-faggiana-savio-losito-viaggio-italia-unexpected-italy-1.10752197
Vinci;text133;https://www.ilgiornaledivicenza.it/rubriche/viaggi-e-turismo/elisabetta-faggiana-savio-losito-viaggio-italia-unexpected-italy-1.10752197
Viterbo;text113;https://www.ilsole24ore.com/art/dai-borghi-giardini-storici-assegnati-18-miliardi-euro-investimenti-culturali-AEgG46hB
