entity,text_id,url
ANSA Clarese Partis,text39,https://gazzettadelsud.it/articoli/societa/2023/09/02/in-smart-working-a-ollolai-in-sardegna-richieste-da-tutto-il-mondo-f6158884-051a-4624-a64c-2a41776dc993/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_nazionale
ANSA Clarese Partis,text40,https://www.ansa.it/sardegna/notizie/2023/09/01/in-smart-working-a-ollolai-richieste-da-tutto-il-mondo_aace74c2-aea8-4e33-a15f-bedcda4a69d4.html
ANSA Clarese Partis,text69,https://www.ilgazzettino.it/economia/news/lavoro_smart_working_sardegna_di_cosa_si_tratta_ollolai_barbagia_nomade_digitale-7606018.html
Fondazione Venezia,text43,https://www.agi.it/lifestyle/news/2022-03-01/remote-working-venezia-smart-working-progetto-venywhere-15801713/
Nomadi digitali,text57,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2023/09/26/nomadi-digitali-ormai-una-comunita-di-35-milioni-nel-mondo_df41cdfc-8fd8-4a9f-80e1-ef9ef07cf0ff.html
Nomadi digitali,text51,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2024/02/28/nomadi-digitali-fuori-dagli-stereotipi-tutto-sul-fenomeno-che-cambia_034dc501-5197-4848-bbd7-d236cf12c8c1.html
Nomadi digitali,text45,https://www.ilfattoquotidiano.it/2023/04/11/la-sfida-della-toscana-rilanciare-in-chiave-smart-economia-dei-territori-e-stili-di-vita/7120957/
Nomadi digitali,text17,https://www.ilfattoquotidiano.it/2021/05/04/pnrr-linnovazione-tecnologica-non-basta-bisogna-diffondere-una-cultura-digitale/6186304/
M5S,text88,https://www.corriere.it/economia/lavoro/22_aprile_13/smart-working-norma-attirare-stranieri-visto-lavorativo-un-anno-32e08a64-baf0-11ec-818b-cbb6b2b517fa.shtml
M5S,text47,https://www.ilsole24ore.com/art/lavoro-nomadi-digitali-norma-attirare-talenti-dall-estero-AEHtWhNB
M5S,text58,https://www.ansa.it/sito/notizie/economia/2022/04/29/nomadi-digitali-una-norma-per-lanciare-trend-in-italia_85da3e80-73fa-4b02-9d86-1104db723e2f.html
